model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,count_negative,count_positive,mean_negative,mean_positive,median_negative,median_positive,median_gap_positive_minus_negative
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,8,81.0,178.0,0.93474776,0.87295586,0.99947864,0.9795178,-0.01996082
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,9,19.0,197.0,0.9944282,0.9295199,0.9999695,0.9964522,-0.00351727
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,10,2.0,227.0,0.99379086,0.9815007,0.99379086,0.9998585,0.0060676336
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,11,,281.0,,0.9886142,,0.99998,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,12,,197.0,,0.9966766,,0.9999889,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,13,,42.0,,0.99998826,,0.99998915,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,0,194420.0,,0.071162924,,0.010936848,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,1,51512.0,228.0,0.43763968,0.9997826,0.24726291,0.9999371,0.7526742
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,2,3563.0,207.0,0.93860936,0.9999082,0.99295795,0.9999393,0.006981373
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,3,5.0,65.0,0.9707931,0.999931,0.99991786,0.99993455,1.66893e-05
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,0,453344.0,334.0,0.6057639,0.9893201,0.7317368,0.99942386,0.26768708
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,1,103348.0,453.0,0.6983847,0.994187,0.8552844,0.99971145,0.14442706
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,2,6524.0,282.0,0.81329185,0.997743,0.95046246,0.999948,0.049485564
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,3,30.0,73.0,0.9976576,0.99995714,0.99955875,0.9999889,0.00043016672
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,0,10208.0,3.0,0.037769355,0.9888726,0.0008425624,0.9981,0.9972574
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,1,2041.0,27.0,0.24522057,0.9821869,0.05840687,0.9978199,0.939413
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,2,181.0,48.0,0.5606677,0.9955178,0.63487893,0.9998038,0.36492485
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,3,1.0,28.0,0.9999343,0.99962485,0.9999343,0.9999343,0.0
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,4,1.0,6.0,0.9999869,0.99998254,0.9999869,0.9999826,-4.2915344e-06
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,0,271911.0,77.0,0.82662225,0.98565227,0.98825014,0.9999502,0.011700034
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,1,15869.0,257.0,0.84572166,0.9650821,0.9952312,0.9999666,0.00473541
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,2,938.0,188.0,0.9057584,0.9732581,0.9973826,0.9999813,0.002598703
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,3,62.0,52.0,0.9666866,0.99867636,0.9998454,0.9999833,0.00013792515
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,4,5.0,6.0,0.9999011,0.9937821,0.9999143,0.9999889,7.4625015e-05
