model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,target,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,3,False,14,0.35322237,0.2084114,0.00035493143,0.008856278,0.74234015,0.8455226,1.28306565e-05,0.92861444
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,3,True,16,0.8453148,0.99507344,0.36718908,0.93437064,0.9988729,0.99995667,0.02348105,0.99998593
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,4,False,1,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,4,True,2,0.9995824,0.9995824,0.99933404,0.99942714,0.9997376,0.9998307,0.9992719,0.99989283
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,0,False,207,0.18296003,0.010310305,1.986082e-05,0.00031596562,0.24376822,0.71732605,1.4940483e-07,0.9991497
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,0,True,143,0.33411014,0.12789027,8.2699196e-05,0.0071628056,0.69532686,0.94721663,9.328141e-08,0.9966882
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,1,False,218,0.25950363,0.049028773,9.178657e-05,0.0011074034,0.51960564,0.9279405,8.90843e-08,0.99582267
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,1,True,236,0.5255086,0.60039765,0.0013591772,0.047467228,0.9739319,0.9971298,1.9748175e-06,0.99996006
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,2,False,67,0.42787072,0.24135487,0.00042283136,0.007925082,0.9389581,0.9929487,4.220929e-06,0.99966085
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,2,True,103,0.6943933,0.9421737,0.008927313,0.46575582,0.99170524,0.9994507,3.7178765e-05,0.9999075
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,3,False,7,0.6283933,0.82564276,0.276866,0.46803653,0.8408594,0.8829562,0.026703885,0.92861444
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,3,True,16,0.8453148,0.99507344,0.36718908,0.93437064,0.9988729,0.99995667,0.02348105,0.99998593
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,4,False,1,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,4,True,2,0.9995824,0.9995824,0.99933404,0.99942714,0.9997376,0.9998307,0.9992719,0.99989283
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,0,False,955,0.27868524,0.043792184,0.00063669,0.0042489246,0.62914395,0.94785416,1.6833428e-06,0.9994299
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,1,False,10106,0.29536074,0.05019186,0.00027658005,0.0026006775,0.6519175,0.96724606,1.7159414e-06,0.99991333
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,2,False,64324,0.32868734,0.12328328,0.00068746705,0.007902893,0.68553686,0.9560099,4.495373e-07,0.9999242
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,3,False,98317,0.38508454,0.22579503,0.001161602,0.01563512,0.8011269,0.97053564,2.1147703e-07,0.99994016
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,4,False,52554,0.4676291,0.4276824,0.0022079565,0.034527104,0.90756327,0.9863008,4.2811413e-07,0.99997115
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,5,False,11084,0.615239,0.7898493,0.014713045,0.18584067,0.9735827,0.9957124,1.6720454e-06,0.9999709
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,5,True,1,0.90778714,0.90778714,0.90778714,0.90778714,0.90778714,0.90778714,0.90778714,0.90778714
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,6,False,1970,0.72360057,0.9242264,0.07630117,0.49262482,0.9927081,0.99914646,7.824779e-06,0.99998605
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,6,True,40,0.6472986,0.7788435,0.15268089,0.3685023,0.96195346,0.99270064,0.0015591239,0.9989851
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,7,False,446,0.8510511,0.9940492,0.2745657,0.8904388,0.99972355,0.99992675,0.001752294,0.99998546
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,7,True,144,0.6546081,0.80454654,0.014924143,0.38900733,0.9786272,0.9968472,0.0016603991,0.99982494
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,8,False,81,0.93474776,0.99947864,0.85078967,0.99090976,0.99994195,0.99996924,0.0026920764,0.9999814
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,8,True,178,0.87295586,0.9795178,0.60655576,0.88059056,0.9968031,0.99941003,0.0018605049,0.9999608
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,9,False,19,0.9944282,0.9999695,0.97178876,0.99958926,0.9999758,0.9999785,0.9574267,0.9999809
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,9,True,197,0.9295199,0.9964522,0.7237285,0.9788036,0.9995455,0.99984807,0.036201634,0.9999896
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,10,False,2,0.99379086,0.99379086,0.98883826,0.9906955,0.99688625,0.9987435,0.9876001,0.99998164
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,10,True,227,0.9815007,0.9998585,0.98222154,0.99875766,0.9999547,0.99998105,0.0894045,0.9999893
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,11,True,281,0.9886142,0.99998,0.9996908,0.9999291,0.9999888,0.9999895,0.22305012,0.99999046
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,12,True,197,0.9966766,0.9999889,0.99995685,0.9999871,0.9999893,0.9999895,0.48292467,0.9999902
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,ice_id_people_200,all_pairs,13,True,42,0.99998826,0.99998915,0.99998844,0.9999889,0.9999894,0.9999895,0.99996686,0.9999896
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,0,False,194420,0.071162924,0.010936848,0.00038422612,0.0018794767,0.059044912,0.22024006,4.2518455e-08,0.9891572
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,1,False,51512,0.43763968,0.24726291,0.0025109523,0.017902913,0.9571189,0.99547076,4.3306892e-07,0.99996674
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,1,True,228,0.9997826,0.9999371,0.9997884,0.99989724,0.99997056,0.9999796,0.9806927,0.9999862
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,2,False,3563,0.93860936,0.99295795,0.8319893,0.9610462,0.99840206,0.99951005,0.00411168,0.9999889
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,2,True,207,0.9999082,0.9999393,0.9998649,0.9999034,0.9999756,0.99998254,0.9979699,0.9999869
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,3,False,5,0.9707931,0.99991786,0.92426556,0.9410481,0.99993336,0.99996704,0.9130772,0.9999895
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,3,True,65,0.999931,0.99993455,0.9998835,0.999912,0.9999496,0.9999805,0.9998474,0.99998534
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,0,False,453344,0.6057639,0.7317368,0.03880147,0.23917806,0.95193875,0.98991823,3.991677e-07,0.99995387
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,0,True,334,0.9893201,0.99942386,0.987989,0.996976,0.99980223,0.9999065,0.023460802,0.9999746
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,1,False,103348,0.6983847,0.8552844,0.115527935,0.45954743,0.97324526,0.9937395,1.8866942e-05,0.9999548
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,1,True,453,0.994187,0.99971145,0.99451727,0.9989642,0.99991333,0.9999574,0.25145167,0.99998915
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,2,False,6524,0.81329185,0.95046246,0.3426712,0.7498993,0.990695,0.9975347,0.0014154203,0.99995995
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,2,True,282,0.997743,0.999948,0.9992104,0.9997941,0.999977,0.9999869,0.6152373,0.9999895
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,3,False,30,0.9976576,0.99955875,0.9913389,0.9990342,0.9997344,0.99985665,0.9841591,0.9999435
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_google_scholar,cross_source,3,True,73,0.99995714,0.9999889,0.9998555,0.9999548,0.9999893,0.9999895,0.9997578,0.99999034
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,0,False,10208,0.037769355,0.0008425624,1.8517665e-05,0.00011377398,0.007527872,0.06340563,3.3399477e-08,0.9994287
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,0,True,3,0.9888726,0.9981,0.97484696,0.9835669,0.99879205,0.9992073,0.9690337,0.9994842
