name,n_records,n_entities,prevalence,candidate_pairs,candidate_fraction,true_pair_candidate_recall,roc_auc,pr_auc,pair_precision,pair_recall,pair_f1,best_pair_f1,best_pair_threshold,adjusted_rand,baseline,policy,pair_scope,status,error,seconds,comparison_policy,blocking_policy,prior_recall,max_u_pairs,prediction_rules,prior_rules
dblp_acm,1000,500,0.002,250000,1.0,1.0,0.9996482124248497,0.9852712813051766,0.8920863309352518,0.992,0.9393939393939394,0.9685039370078741,0.9852601348387888,0.7500670945555611,splink_generic_unsupervised,all_pairs_small,cross_source,completed,,2.179424292058684,generic_by_manifest_type,none_all_pairs,0.7,200000,,exact:year | exact:title | exact:authors
fodors_zagats,224,112,0.008928571428571428,12544,1.0,1.0,0.9999813269902555,0.99793109516981,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9866666666666667,0.23374527651757426,0.8794029635504921,splink_generic_unsupervised,all_pairs_small,cross_source,completed,,0.5063883330440149,generic_by_manifest_type,none_all_pairs,0.7,200000,,exact:phone | exact:name | exact:addr
walmart_amazon,1078,500,0.0020043889205674493,289365,1.0,1.0,0.9638300149317623,0.6477421434033683,0.5253623188405797,0.75,0.6178977272727273,0.7103448275862069,0.9407647319202294,0.004684776867652216,splink_generic_unsupervised,all_pairs_small,cross_source,completed,,11.125975249917246,generic_by_manifest_type,none_all_pairs,0.7,200000,,exact:modelno | exact:title | exact:brand
amazon_google_price_numeric,1080,500,0.0019984081645310113,290231,1.0,1.0,0.7312720010609677,0.12161659774956364,0.5714285714285714,0.006896551724137931,0.013628620102214651,0.32163742690058483,8.88986696680811e-19,0.03403643721142453,splink_generic_unsupervised,all_pairs_small,cross_source,completed,,5.412987875053659,generic_by_manifest_type,none_all_pairs,0.7,200000,,exact:title | exact:description
