model,checkpoint_path,checkpoint_step,benchmark,pair_scope,variant,config_index,n_configs,field_types,manifest_field_types,candidate_pairs,error,roc_auc,pr_auc,oracle_pair_f1,oracle_pair_threshold
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,29,135,title:text; authors:identifier; venue:categorical; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.7003467895791583,0.0032905787242178577,0.009543595403492826,0.9888705611228943
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,30,135,title:text; authors:identifier; venue:categorical; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.948949114228457,0.01981336046516679,0.044989115536563734,0.9660588502883911
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,31,135,title:text; authors:categorical; venue:text; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,32,135,title:text; authors:categorical; venue:text; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,33,135,title:text; authors:categorical; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.8920935751503005,0.2654300058482502,0.3401162790697675,0.9999531507492065
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,34,135,title:text; authors:categorical; venue:text; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.8097260841683368,0.11335982117787281,0.2202304737516005,0.9999840259552002
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,35,135,title:text; authors:categorical; venue:text; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.8349035631262525,0.27520888295796714,0.3541364296081277,0.9999473094940186
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,36,135,title:text; authors:categorical; venue:identifier; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,37,135,title:text; authors:categorical; venue:identifier; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,38,135,title:text; authors:categorical; venue:identifier; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.8920935751503005,0.2654300058482502,0.3401162790697675,0.9999531507492065
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,39,135,title:text; authors:categorical; venue:identifier; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.8097261042084168,0.11335982120391926,0.2202304737516005,0.9999840259552002
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,40,135,title:text; authors:categorical; venue:identifier; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.8349035631262525,0.27520888295796714,0.3541364296081277,0.9999473094940186
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,41,135,title:text; authors:categorical; venue:categorical; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.6630350821643287,0.0037696516355556968,0.010494165557208864,0.1934451013803482
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,42,135,title:text; authors:categorical; venue:categorical; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.6630350821643287,0.0037696516355556968,0.010494165557208864,0.1934451013803482
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,43,135,title:text; authors:categorical; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.8111531503006011,0.011662113035916749,0.03824289405684755,0.9929475784301758
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,44,135,title:text; authors:categorical; venue:categorical; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.6859403406813627,0.0034257635452546106,0.010488986564107686,0.975578248500824
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,45,135,title:text; authors:categorical; venue:categorical; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.7927986933867734,0.008337780542769846,0.023830935251798562,0.9892640709877014
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,46,135,title:identifier; authors:text; venue:text; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,47,135,title:identifier; authors:text; venue:text; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,48,135,title:identifier; authors:text; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9994240280561122,0.8641822834223691,0.8338081671415005,0.9998630285263062
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,49,135,title:identifier; authors:text; venue:text; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.9852609659318636,0.18433507912757816,0.26172465960665653,0.9999873638153076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,50,135,title:identifier; authors:text; venue:text; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.9988863767535071,0.7484993307674604,0.7051039697542533,0.9998493194580078
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,51,135,title:identifier; authors:text; venue:identifier; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.9979111823647295,0.805960664879286,0.7716849451645065,0.9995228052139282
